Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (659)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
aspartate transmembrane transport (GO:0015810)	20	4	.64	+	6.25	3.35E-03	4.79E-02
positive regulation of smooth muscle cell migration (GO:0014911)	40	8	1.28	+	6.25	3.29E-05	1.14E-03
Fc-epsilon receptor signaling pathway (GO:0038095)	25	5	.80	+	6.25	1.03E-03	1.90E-02
positive regulation of interleukin-6 production (GO:0032755)	100	20	3.20	+	6.25	4.71E-11	6.58E-09
icosanoid biosynthetic process (GO:0046456)	50	10	1.60	+	6.25	3.42E-06	1.55E-04
regulation of macrophage activation (GO:0043030)	56	11	1.79	+	6.13	1.34E-06	6.67E-05
regulation of lipid storage (GO:0010883)	51	10	1.63	+	6.12	4.13E-06	1.84E-04
regulation of leukocyte degranulation (GO:0043300)	46	9	1.47	+	6.11	1.28E-05	5.03E-04
positive regulation of interleukin-10 production (GO:0032733)	41	8	1.31	+	6.09	3.97E-05	1.32E-03
phagocytosis (GO:0006909)	159	31	5.09	+	6.09	4.60E-16	1.63E-13
regulation of homotypic cell-cell adhesion (GO:0034110)	36	7	1.15	+	6.07	1.24E-04	3.51E-03
cell surface toll-like receptor signaling pathway (GO:0140895)	36	7	1.15	+	6.07	1.24E-04	3.51E-03
regulation of amyloid-beta formation (GO:1902003)	36	7	1.15	+	6.07	1.24E-04	3.50E-03
mast cell activation involved in immune response (GO:0002279)	31	6	.99	+	6.04	3.91E-04	8.87E-03
mast cell degranulation (GO:0043303)	31	6	.99	+	6.04	3.91E-04	8.85E-03
positive regulation of cell-substrate junction organization (GO:0150117)	31	6	.99	+	6.04	3.91E-04	8.84E-03
respiratory burst (GO:0045730)	26	5	.83	+	6.01	1.25E-03	2.19E-02
negative regulation of neural precursor cell proliferation (GO:2000178)	26	5	.83	+	6.01	1.25E-03	2.19E-02
positive regulation of cholesterol efflux (GO:0010875)	26	5	.83	+	6.01	1.25E-03	2.19E-02
chondroitin sulfate metabolic process (GO:0030204)	26	5	.83	+	6.01	1.25E-03	2.19E-02
positive regulation of amyloid precursor protein catabolic process (GO:1902993)	26	5	.83	+	6.01	1.25E-03	2.18E-02
positive regulation of chemokine production (GO:0032722)	73	14	2.34	+	5.99	6.71E-08	4.63E-06
astrocyte development (GO:0014002)	37	7	1.18	+	5.91	1.49E-04	4.06E-03
platelet-derived growth factor receptor signaling pathway (GO:0048008)	37	7	1.18	+	5.91	1.49E-04	4.05E-03
actin filament polymerization (GO:0030041)	37	7	1.18	+	5.91	1.49E-04	4.04E-03
response to interleukin-6 (GO:0070741)	32	6	1.02	+	5.86	4.69E-04	1.02E-02
regulation of amyloid precursor protein catabolic process (GO:1902991)	43	8	1.38	+	5.81	5.70E-05	1.79E-03
positive regulation of interleukin-4 production (GO:0032753)	27	5	.86	+	5.78	1.49E-03	2.54E-02
positive regulation of cytokine production involved in inflammatory response (GO:1900017)	27	5	.86	+	5.78	1.49E-03	2.53E-02
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	65	12	2.08	+	5.77	8.96E-07	4.73E-05
regulation of macrophage migration (GO:1905521)	44	8	1.41	+	5.68	6.77E-05	2.09E-03
cellular response to lipoprotein particle stimulus (GO:0071402)	33	6	1.06	+	5.68	5.58E-04	1.18E-02
regulation of smooth muscle cell migration (GO:0014910)	66	12	2.11	+	5.68	1.06E-06	5.46E-05
myeloid leukocyte activation (GO:0002274)	155	28	4.96	+	5.64	9.21E-14	2.13E-11
antigen processing and presentation of exogenous antigen (GO:0019884)	50	9	1.60	+	5.62	2.59E-05	9.32E-04
regulation of leukocyte apoptotic process (GO:2000106)	89	16	2.85	+	5.61	2.05E-08	1.57E-06
positive regulation of Rho protein signal transduction (GO:0035025)	39	7	1.25	+	5.61	2.11E-04	5.37E-03
myeloid cell activation involved in immune response (GO:0002275)	67	12	2.15	+	5.59	1.26E-06	6.33E-05
regulation of mast cell degranulation (GO:0043304)	28	5	.90	+	5.58	1.77E-03	2.91E-02
positive regulation of endocytosis (GO:0045807)	157	28	5.03	+	5.57	1.29E-13	2.76E-11
leukocyte degranulation (GO:0043299)	45	8	1.44	+	5.55	8.01E-05	2.42E-03
regulation of interleukin-8 production (GO:0032677)	85	15	2.72	+	5.51	7.34E-08	4.89E-06
regulation of interleukin-4 production (GO:0032673)	34	6	1.09	+	5.51	6.59E-04	1.35E-02
regulation of natural killer cell activation (GO:0032814)	40	7	1.28	+	5.47	2.48E-04	6.09E-03
lamellipodium organization (GO:0097581)	46	8	1.47	+	5.43	9.42E-05	2.78E-03
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	173	30	5.54	+	5.42	3.72E-14	9.60E-12
regulation of tumor necrosis factor production (GO:0032680)	168	29	5.38	+	5.39	1.12E-13	2.48E-11
regulation of toll-like receptor 4 signaling pathway (GO:0034143)	29	5	.93	+	5.38	2.08E-03	3.34E-02
regulation of astrocyte differentiation (GO:0048710)	29	5	.93	+	5.38	2.08E-03	3.34E-02
myeloid leukocyte mediated immunity (GO:0002444)	70	12	2.24	+	5.35	2.05E-06	9.80E-05
mast cell activation (GO:0045576)	35	6	1.12	+	5.35	7.74E-04	1.55E-02
negative regulation of blood vessel endothelial cell migration (GO:0043537)	35	6	1.12	+	5.35	7.74E-04	1.55E-02
dendritic cell differentiation (GO:0097028)	35	6	1.12	+	5.35	7.74E-04	1.55E-02
axon extension (GO:0048675)	47	8	1.51	+	5.32	1.10E-04	3.19E-03
positive regulation of interleukin-8 production (GO:0032757)	65	11	2.08	+	5.28	6.20E-06	2.63E-04
regulation of B cell proliferation (GO:0030888)	65	11	2.08	+	5.28	6.20E-06	2.63E-04
regulation of interleukin-6 production (GO:0032675)	154	26	4.93	+	5.27	3.60E-12	5.48E-10
L-glutamate import (GO:0051938)	30	5	.96	+	5.20	2.43E-03	3.81E-02
positive regulation of interleukin-1 beta production (GO:0032731)	60	10	1.92	+	5.20	1.88E-05	7.01E-04
positive regulation of type II interferon production (GO:0032729)	78	13	2.50	+	5.20	1.08E-06	5.50E-05
negative regulation of lipid localization (GO:1905953)	48	8	1.54	+	5.20	1.29E-04	3.59E-03
regulation of superoxide metabolic process (GO:0090322)	30	5	.96	+	5.20	2.43E-03	3.80E-02
diol metabolic process (GO:0034311)	30	5	.96	+	5.20	2.43E-03	3.80E-02
regulation of actin nucleation (GO:0051125)	42	7	1.34	+	5.20	3.40E-04	7.79E-03
regulation of chemokine production (GO:0032642)	97	16	3.11	+	5.15	7.27E-08	4.86E-06
innate immune response-activating signaling pathway (GO:0002758)	141	23	4.52	+	5.09	1.31E-10	1.63E-08
negative regulation of endothelial cell proliferation (GO:0001937)	43	7	1.38	+	5.08	3.95E-04	8.91E-03
positive regulation of interleukin-12 production (GO:0032735)	43	7	1.38	+	5.08	3.95E-04	8.89E-03
negative regulation of type II interferon production (GO:0032689)	43	7	1.38	+	5.08	3.95E-04	8.88E-03
cerebral cortex radially oriented cell migration (GO:0021799)	37	6	1.18	+	5.06	1.05E-03	1.90E-02
walking behavior (GO:0090659)	37	6	1.18	+	5.06	1.05E-03	1.90E-02
negative regulation of miRNA metabolic process (GO:2000629)	31	5	.99	+	5.04	2.82E-03	4.28E-02
positive regulation of actin filament bundle assembly (GO:0032233)	62	10	1.99	+	5.04	2.53E-05	9.13E-04
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	31	5	.99	+	5.04	2.82E-03	4.28E-02
regulation of ruffle assembly (GO:1900027)	31	5	.99	+	5.04	2.82E-03	4.27E-02
regulation of macrophage derived foam cell differentiation (GO:0010743)	31	5	.99	+	5.04	2.82E-03	4.27E-02
negative regulation of leukocyte apoptotic process (GO:2000107)	56	9	1.79	+	5.02	6.61E-05	2.05E-03
acidic amino acid transport (GO:0015800)	44	7	1.41	+	4.97	4.57E-04	1.00E-02
cell surface pattern recognition receptor signaling pathway (GO:0002752)	44	7	1.41	+	4.97	4.57E-04	9.99E-03
regulation of focal adhesion assembly (GO:0051893)	63	10	2.02	+	4.96	2.93E-05	1.04E-03
regulation of cell-substrate junction assembly (GO:0090109)	63	10	2.02	+	4.96	2.93E-05	1.04E-03
cellular response to amyloid-beta (GO:1904646)	38	6	1.22	+	4.93	1.21E-03	2.14E-02
regulation of fibroblast migration (GO:0010762)	38	6	1.22	+	4.93	1.21E-03	2.14E-02
positive regulation of reactive oxygen species metabolic process (GO:2000379)	70	11	2.24	+	4.91	1.30E-05	5.07E-04
toll-like receptor 4 signaling pathway (GO:0034142)	32	5	1.02	+	4.88	3.26E-03	4.75E-02
regulation of fatty acid transport (GO:2000191)	32	5	1.02	+	4.88	3.26E-03	4.74E-02
regulation of bone resorption (GO:0045124)	45	7	1.44	+	4.86	5.26E-04	1.13E-02
positive regulation of B cell proliferation (GO:0030890)	45	7	1.44	+	4.86	5.26E-04	1.13E-02
regulation of Rho protein signal transduction (GO:0035023)	90	14	2.88	+	4.86	9.93E-07	5.17E-05
B cell receptor signaling pathway (GO:0050853)	58	9	1.86	+	4.85	8.78E-05	2.62E-03
regulation of dendritic spine development (GO:0060998)	58	9	1.86	+	4.85	8.78E-05	2.61E-03
antigen processing and presentation of peptide antigen (GO:0048002)	71	11	2.27	+	4.84	1.49E-05	5.68E-04
unsaturated fatty acid biosynthetic process (GO:0006636)	39	6	1.25	+	4.80	1.40E-03	2.41E-02
peptidyl-tyrosine phosphorylation (GO:0018108)	65	10	2.08	+	4.80	3.87E-05	1.29E-03
positive regulation of stress fiber assembly (GO:0051496)	52	8	1.67	+	4.80	2.30E-04	5.74E-03
response to antibiotic (GO:0046677)	39	6	1.25	+	4.80	1.40E-03	2.40E-02
positive regulation of interleukin-1 production (GO:0032732)	72	11	2.31	+	4.77	1.71E-05	6.45E-04
regulation of lymphocyte apoptotic process (GO:0070228)	59	9	1.89	+	4.76	1.01E-04	2.95E-03
regulation of long-term synaptic potentiation (GO:1900271)	46	7	1.47	+	4.75	6.04E-04	1.26E-02
substrate adhesion-dependent cell spreading (GO:0034446)	46	7	1.47	+	4.75	6.04E-04	1.26E-02
activation of GTPase activity (GO:0090630)	99	15	3.17	+	4.73	5.81E-07	3.24E-05
regulation of type II interferon production (GO:0032649)	119	18	3.81	+	4.72	4.50E-08	3.22E-06
prostaglandin metabolic process (GO:0006693)	40	6	1.28	+	4.68	1.60E-03	2.69E-02
regulation of small GTPase mediated signal transduction (GO:0051056)	308	46	9.86	+	4.66	2.40E-18	1.26E-15
peptidyl-tyrosine modification (GO:0018212)	67	10	2.15	+	4.66	5.06E-05	1.65E-03
negative regulation of MAP kinase activity (GO:0043407)	47	7	1.51	+	4.65	6.90E-04	1.41E-02
pattern recognition receptor signaling pathway (GO:0002221)	121	18	3.87	+	4.65	5.86E-08	4.12E-06
response to axon injury (GO:0048678)	54	8	1.73	+	4.63	3.00E-04	7.09E-03
regulation of cytokine production involved in inflammatory response (GO:1900015)	61	9	1.95	+	4.61	1.31E-04	3.65E-03
regulation of cell-substrate junction organization (GO:0150116)	68	10	2.18	+	4.59	5.76E-05	1.81E-03
cell adhesion mediated by integrin (GO:0033627)	41	6	1.31	+	4.57	1.82E-03	2.97E-02
prostanoid metabolic process (GO:0006692)	41	6	1.31	+	4.57	1.82E-03	2.97E-02
glial cell migration (GO:0008347)	48	7	1.54	+	4.55	7.86E-04	1.56E-02
negative regulation of tumor necrosis factor production (GO:0032720)	62	9	1.99	+	4.53	1.49E-04	4.04E-03
regulation of substrate adhesion-dependent cell spreading (GO:1900024)	62	9	1.99	+	4.53	1.49E-04	4.03E-03
regulation of nitric oxide metabolic process (GO:0080164)	62	9	1.99	+	4.53	1.49E-04	4.03E-03
activation of innate immune response (GO:0002218)	166	24	5.32	+	4.52	6.73E-10	7.38E-08
regulation of interleukin-12 production (GO:0032655)	63	9	2.02	+	4.46	1.69E-04	4.48E-03
epidermal growth factor receptor signaling pathway (GO:0007173)	49	7	1.57	+	4.46	8.92E-04	1.73E-02
positive regulation of nitric oxide metabolic process (GO:1904407)	42	6	1.34	+	4.46	2.07E-03	3.33E-02
regulation of endocytosis (GO:0030100)	288	41	9.22	+	4.45	9.79E-16	3.18E-13
dendrite morphogenesis (GO:0048813)	64	9	2.05	+	4.39	1.91E-04	4.96E-03
actin filament bundle organization (GO:0061572)	64	9	2.05	+	4.39	1.91E-04	4.95E-03
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	64	9	2.05	+	4.39	1.91E-04	4.94E-03
regulation of myeloid leukocyte differentiation (GO:0002761)	128	18	4.10	+	4.39	1.41E-07	8.93E-06
positive regulation of cell-matrix adhesion (GO:0001954)	57	8	1.83	+	4.38	4.38E-04	9.69E-03
regulation of filopodium assembly (GO:0051489)	50	7	1.60	+	4.37	1.01E-03	1.91E-02
neuron maturation (GO:0042551)	43	6	1.38	+	4.36	2.34E-03	3.70E-02
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)	43	6	1.38	+	4.36	2.34E-03	3.70E-02
regulation of interleukin-1 beta production (GO:0032651)	94	13	3.01	+	4.32	9.20E-06	3.82E-04
positive regulation of axonogenesis (GO:0050772)	80	11	2.56	+	4.29	4.70E-05	1.54E-03
positive regulation of chemotaxis (GO:0050921)	146	20	4.68	+	4.28	4.51E-08	3.21E-06
receptor-mediated endocytosis (GO:0006898)	168	23	5.38	+	4.28	4.49E-09	4.01E-07
regulation of erythrocyte differentiation (GO:0045646)	44	6	1.41	+	4.26	2.64E-03	4.07E-02
positive regulation of lipid localization (GO:1905954)	110	15	3.52	+	4.26	2.29E-06	1.09E-04
regulation of alpha-beta T cell proliferation (GO:0046640)	44	6	1.41	+	4.26	2.64E-03	4.07E-02
L-alpha-amino acid transmembrane transport (GO:1902475)	66	9	2.11	+	4.26	2.43E-04	6.01E-03
astrocyte differentiation (GO:0048708)	66	9	2.11	+	4.26	2.43E-04	6.00E-03
positive regulation of non-canonical NF-kappaB signal transduction (GO:1901224)	66	9	2.11	+	4.26	2.43E-04	5.99E-03
positive regulation of response to cytokine stimulus (GO:0060760)	66	9	2.11	+	4.26	2.43E-04	5.99E-03
response to type II interferon (GO:0034341)	132	18	4.23	+	4.26	2.27E-07	1.38E-05
regulation of leukocyte chemotaxis (GO:0002688)	125	17	4.00	+	4.25	5.10E-07	2.90E-05
positive regulation of leukocyte chemotaxis (GO:0002690)	96	13	3.07	+	4.23	1.16E-05	4.65E-04
cellular response to molecule of bacterial origin (GO:0071219)	207	28	6.63	+	4.22	1.26E-10	1.58E-08
positive regulation of leukocyte proliferation (GO:0070665)	163	22	5.22	+	4.21	1.27E-08	1.03E-06
positive regulation of actin filament polymerization (GO:0030838)	52	7	1.67	+	4.20	1.28E-03	2.23E-02
regulation of phospholipase activity (GO:0010517)	52	7	1.67	+	4.20	1.28E-03	2.23E-02
leukocyte homeostasis (GO:0001776)	97	13	3.11	+	4.19	1.30E-05	5.07E-04
inflammatory response to antigenic stimulus (GO:0002437)	45	6	1.44	+	4.16	2.96E-03	4.47E-02
regulation of nitric oxide biosynthetic process (GO:0045428)	60	8	1.92	+	4.16	6.24E-04	1.29E-02
negative regulation of lymphocyte proliferation (GO:0050672)	90	12	2.88	+	4.16	2.94E-05	1.04E-03
macrophage differentiation (GO:0030225)	45	6	1.44	+	4.16	2.96E-03	4.46E-02
cellular response to biotic stimulus (GO:0071216)	233	31	7.46	+	4.15	1.96E-11	2.85E-09
regulation of interleukin-1 production (GO:0032652)	113	15	3.62	+	4.15	3.23E-06	1.47E-04
regulation of bone remodeling (GO:0046850)	53	7	1.70	+	4.12	1.43E-03	2.46E-02
negative regulation of mononuclear cell proliferation (GO:0032945)	91	12	2.91	+	4.12	3.29E-05	1.14E-03
positive regulation of cell killing (GO:0031343)	76	10	2.43	+	4.11	1.50E-04	4.05E-03
positive regulation of supramolecular fiber organization (GO:1902905)	175	23	5.60	+	4.10	9.95E-09	8.29E-07
negative regulation of leukocyte proliferation (GO:0070664)	99	13	3.17	+	4.10	1.63E-05	6.19E-04
actin filament bundle assembly (GO:0051017)	61	8	1.95	+	4.10	6.98E-04	1.42E-02
positive regulation of myeloid leukocyte differentiation (GO:0002763)	61	8	1.95	+	4.10	6.98E-04	1.42E-02
endocytosis (GO:0006897)	527	69	16.88	+	4.09	1.24E-23	3.16E-20
positive regulation of adaptive immune response (GO:0002821)	130	17	4.16	+	4.08	8.96E-07	4.74E-05
polyol biosynthetic process (GO:0046173)	46	6	1.47	+	4.07	3.32E-03	4.76E-02
positive regulation of glial cell differentiation (GO:0045687)	46	6	1.47	+	4.07	3.32E-03	4.76E-02
regulation of blood vessel endothelial cell migration (GO:0043535)	92	12	2.95	+	4.07	3.67E-05	1.24E-03
insulin receptor signaling pathway (GO:0008286)	69	9	2.21	+	4.07	3.42E-04	7.82E-03
integrin-mediated signaling pathway (GO:0007229)	100	13	3.20	+	4.06	1.82E-05	6.82E-04
regulation of tissue remodeling (GO:0034103)	77	10	2.47	+	4.06	1.68E-04	4.45E-03
neutral amino acid transport (GO:0015804)	54	7	1.73	+	4.05	1.60E-03	2.70E-02
positive regulation of small GTPase mediated signal transduction (GO:0051057)	78	10	2.50	+	4.00	1.87E-04	4.91E-03
iron ion transport (GO:0006826)	55	7	1.76	+	3.97	1.79E-03	2.92E-02
cellular response to type II interferon (GO:0071346)	110	14	3.52	+	3.97	1.12E-05	4.51E-04
positive regulation of protein binding (GO:0032092)	55	7	1.76	+	3.97	1.79E-03	2.92E-02
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	55	7	1.76	+	3.97	1.79E-03	2.91E-02
regulation of cell killing (GO:0031341)	110	14	3.52	+	3.97	1.12E-05	4.50E-04
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	173	22	5.54	+	3.97	3.81E-08	2.78E-06
actin polymerization or depolymerization (GO:0008154)	63	8	2.02	+	3.97	8.68E-04	1.69E-02
regulation of actin filament polymerization (GO:0030833)	134	17	4.29	+	3.96	1.38E-06	6.82E-05
positive regulation of gliogenesis (GO:0014015)	71	9	2.27	+	3.96	4.24E-04	9.42E-03
positive regulation of inflammatory response (GO:0050729)	143	18	4.58	+	3.93	7.62E-07	4.12E-05
positive regulation of epithelial cell migration (GO:0010634)	151	19	4.84	+	3.93	3.80E-07	2.22E-05
regulation of lipid localization (GO:1905952)	167	21	5.35	+	3.93	9.43E-08	6.20E-06
neuroblast proliferation (GO:0007405)	56	7	1.79	+	3.90	1.99E-03	3.21E-02
regulation of leukocyte mediated cytotoxicity (GO:0001910)	96	12	3.07	+	3.90	5.63E-05	1.78E-03
positive regulation of lipid transport (GO:0032370)	88	11	2.82	+	3.90	1.14E-04	3.28E-03
regulation of axon extension (GO:0030516)	96	12	3.07	+	3.90	5.63E-05	1.78E-03
negative regulation of myeloid leukocyte differentiation (GO:0002762)	56	7	1.79	+	3.90	1.99E-03	3.21E-02
forebrain cell migration (GO:0021885)	64	8	2.05	+	3.90	9.65E-04	1.84E-02
positive regulation of leukocyte migration (GO:0002687)	153	19	4.90	+	3.88	4.67E-07	2.69E-05
regulation of extent of cell growth (GO:0061387)	113	14	3.62	+	3.87	1.53E-05	5.82E-04
L-amino acid transport (GO:0015807)	81	10	2.59	+	3.86	2.57E-04	6.26E-03
positive regulation of mononuclear cell proliferation (GO:0032946)	146	18	4.68	+	3.85	1.04E-06	5.36E-05
glycosaminoglycan biosynthetic process (GO:0006024)	65	8	2.08	+	3.84	1.07E-03	1.93E-02
positive regulation of pattern recognition receptor signaling pathway (GO:0062208)	65	8	2.08	+	3.84	1.07E-03	1.93E-02
response to ischemia (GO:0002931)	65	8	2.08	+	3.84	1.07E-03	1.93E-02
osteoclast differentiation (GO:0030316)	57	7	1.83	+	3.84	2.20E-03	3.52E-02
ceramide biosynthetic process (GO:0046513)	57	7	1.83	+	3.84	2.20E-03	3.52E-02
antigen processing and presentation (GO:0019882)	106	13	3.39	+	3.83	3.42E-05	1.17E-03
cellular response to lipopolysaccharide (GO:0071222)	196	24	6.28	+	3.82	1.95E-08	1.51E-06
positive regulation of GTPase activity (GO:0043547)	230	28	7.36	+	3.80	1.47E-09	1.52E-07
immune response-regulating signaling pathway (GO:0002764)	354	43	11.34	+	3.79	6.01E-14	1.45E-11
inflammatory response (GO:0006954)	561	68	17.96	+	3.79	2.13E-21	2.32E-18
regulation of mononuclear cell migration (GO:0071675)	124	15	3.97	+	3.78	1.03E-05	4.19E-04
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	124	15	3.97	+	3.78	1.03E-05	4.18E-04
arachidonic acid metabolic process (GO:0019369)	58	7	1.86	+	3.77	2.44E-03	3.80E-02
neuron projection extension (GO:1990138)	83	10	2.66	+	3.76	3.14E-04	7.27E-03
positive regulation of cytokine production involved in immune response (GO:0002720)	83	10	2.66	+	3.76	3.14E-04	7.26E-03
negative regulation of cell activation (GO:0050866)	209	25	6.69	+	3.74	1.59E-08	1.26E-06
positive regulation of cytoskeleton organization (GO:0051495)	184	22	5.89	+	3.73	1.16E-07	7.44E-06
regulation of lipase activity (GO:0060191)	67	8	2.15	+	3.73	1.31E-03	2.28E-02
immune response-activating signaling pathway (GO:0002757)	319	38	10.21	+	3.72	3.29E-12	5.11E-10
regulation of chemotaxis (GO:0050920)	227	27	7.27	+	3.71	4.80E-09	4.23E-07
positive regulation of lymphocyte proliferation (GO:0050671)	143	17	4.58	+	3.71	3.41E-06	1.55E-04
small GTPase-mediated signal transduction (GO:0007264)	261	31	8.36	+	3.71	3.60E-10	4.19E-08
regulation of SMAD protein signal transduction (GO:0060390)	59	7	1.89	+	3.71	2.69E-03	4.14E-02
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	59	7	1.89	+	3.71	2.69E-03	4.14E-02
negative regulation of actin filament polymerization (GO:0030837)	59	7	1.89	+	3.71	2.69E-03	4.13E-02
dicarboxylic acid transport (GO:0006835)	76	9	2.43	+	3.70	7.05E-04	1.43E-02
regulation of actin polymerization or depolymerization (GO:0008064)	152	18	4.87	+	3.70	1.87E-06	9.04E-05
regulation of epithelial cell migration (GO:0010632)	229	27	7.33	+	3.68	5.81E-09	5.03E-07
regulation of GTPase activity (GO:0043087)	297	35	9.51	+	3.68	3.24E-11	4.62E-09
negative regulation of endocytosis (GO:0045806)	68	8	2.18	+	3.67	1.44E-03	2.47E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	281	33	9.00	+	3.67	1.31E-10	1.62E-08
regulation of reactive oxygen species metabolic process (GO:2000377)	145	17	4.64	+	3.66	4.13E-06	1.84E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	248	29	7.94	+	3.65	1.92E-09	1.90E-07
regulated exocytosis (GO:0045055)	146	17	4.68	+	3.64	4.54E-06	2.00E-04
regulation of actin filament length (GO:0030832)	155	18	4.96	+	3.63	2.49E-06	1.17E-04
import into cell (GO:0098657)	715	83	22.90	+	3.63	1.01E-24	7.66E-21
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	69	8	2.21	+	3.62	1.59E-03	2.68E-02
aminoglycan biosynthetic process (GO:0006023)	69	8	2.21	+	3.62	1.59E-03	2.68E-02
regulation of ERBB signaling pathway (GO:1901184)	69	8	2.21	+	3.62	1.59E-03	2.67E-02
regulation of neural precursor cell proliferation (GO:2000177)	104	12	3.33	+	3.60	1.24E-04	3.51E-03
regulation of actin filament bundle assembly (GO:0032231)	104	12	3.33	+	3.60	1.24E-04	3.50E-03
telencephalon cell migration (GO:0022029)	61	7	1.95	+	3.58	3.26E-03	4.75E-02
proteoglycan biosynthetic process (GO:0030166)	61	7	1.95	+	3.58	3.26E-03	4.75E-02
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	96	11	3.07	+	3.58	2.49E-04	6.11E-03
lymphocyte homeostasis (GO:0002260)	70	8	2.24	+	3.57	1.74E-03	2.87E-02
cellular response to calcium ion (GO:0071277)	88	10	2.82	+	3.55	5.05E-04	1.09E-02
regulation of vesicle-mediated transport (GO:0060627)	529	60	16.94	+	3.54	1.41E-17	6.50E-15
regulation of gliogenesis (GO:0014013)	106	12	3.39	+	3.54	1.48E-04	4.05E-03
regulation of endothelial cell migration (GO:0010594)	168	19	5.38	+	3.53	1.97E-06	9.45E-05
regulation of leukocyte proliferation (GO:0070663)	266	30	8.52	+	3.52	2.40E-09	2.35E-07
regulation of MAP kinase activity (GO:0043405)	133	15	4.26	+	3.52	2.40E-05	8.74E-04
regulation of myeloid cell differentiation (GO:0045637)	204	23	6.53	+	3.52	1.77E-07	1.10E-05
intracellular iron ion homeostasis (GO:0006879)	71	8	2.27	+	3.52	1.91E-03	3.09E-02
regulation of leukocyte migration (GO:0002685)	231	26	7.40	+	3.51	2.92E-08	2.16E-06
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	80	9	2.56	+	3.51	1.02E-03	1.88E-02
cell activation involved in immune response (GO:0002263)	205	23	6.56	+	3.50	1.94E-07	1.19E-05
icosanoid metabolic process (GO:0006690)	116	13	3.71	+	3.50	8.83E-05	2.62E-03
negative regulation of lymphocyte activation (GO:0051250)	162	18	5.19	+	3.47	4.69E-06	2.05E-04
positive regulation of protein polymerization (GO:0032273)	91	10	2.91	+	3.43	6.60E-04	1.35E-02
regulation of osteoclast differentiation (GO:0045670)	73	8	2.34	+	3.42	2.28E-03	3.61E-02
negative regulation of protein polymerization (GO:0032272)	73	8	2.34	+	3.42	2.28E-03	3.61E-02
regulation of alpha-beta T cell differentiation (GO:0046637)	73	8	2.34	+	3.42	2.28E-03	3.61E-02
leukocyte activation involved in immune response (GO:0002366)	201	22	6.44	+	3.42	5.47E-07	3.10E-05
response to molecule of bacterial origin (GO:0002237)	339	37	10.86	+	3.41	8.37E-11	1.13E-08
activation of immune response (GO:0002253)	385	42	12.33	+	3.41	4.39E-12	6.62E-10
symbiont entry into host cell (GO:0046718)	110	12	3.52	+	3.41	2.11E-04	5.37E-03
positive regulation of immune effector process (GO:0002699)	257	28	8.23	+	3.40	1.76E-08	1.38E-06
regulation of stress fiber assembly (GO:0051492)	92	10	2.95	+	3.39	7.20E-04	1.45E-02
regulation of lipid transport (GO:0032368)	138	15	4.42	+	3.39	3.72E-05	1.25E-03
positive regulation of response to external stimulus (GO:0032103)	552	60	17.68	+	3.39	1.06E-16	4.38E-14
positive regulation of cell migration (GO:0030335)	543	59	17.39	+	3.39	1.97E-16	7.53E-14
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	83	9	2.66	+	3.39	1.33E-03	2.32E-02
regulation of protein polymerization (GO:0032271)	203	22	6.50	+	3.38	6.48E-07	3.55E-05
positive regulation of mononuclear cell migration (GO:0071677)	74	8	2.37	+	3.38	2.49E-03	3.87E-02
regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	74	8	2.37	+	3.38	2.49E-03	3.86E-02
regulation of mononuclear cell proliferation (GO:0032944)	241	26	7.72	+	3.37	6.93E-08	4.71E-06
positive regulation of myeloid cell differentiation (GO:0045639)	102	11	3.27	+	3.37	4.24E-04	9.45E-03
regulation of actomyosin structure organization (GO:0110020)	102	11	3.27	+	3.37	4.24E-04	9.43E-03
positive regulation of immune response (GO:0050778)	650	70	20.81	+	3.36	4.06E-19	2.58E-16
ensheathment of neurons (GO:0007272)	130	14	4.16	+	3.36	7.42E-05	2.27E-03
regulation of B cell activation (GO:0050864)	130	14	4.16	+	3.36	7.42E-05	2.27E-03
