Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (951)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of leukocyte proliferation (GO:0070665)	163	29	7.53	+	3.85	3.77E-10	3.75E-08
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	124	22	5.73	+	3.84	5.18E-08	3.85E-06
positive regulation of adaptive immune response (GO:0002821)	130	23	6.01	+	3.83	2.74E-08	2.14E-06
receptor signaling pathway via JAK-STAT (GO:0007259)	51	9	2.36	+	3.82	4.89E-04	1.48E-02
positive regulation of T cell differentiation (GO:0045582)	119	21	5.50	+	3.82	1.14E-07	7.67E-06
regulation of T cell proliferation (GO:0042129)	182	32	8.41	+	3.80	6.43E-11	7.00E-09
regulation of leukocyte mediated immunity (GO:0002703)	245	43	11.32	+	3.80	3.56E-14	5.72E-12
leukocyte migration (GO:0050900)	247	43	11.41	+	3.77	4.78E-14	7.60E-12
activation of immune response (GO:0002253)	385	67	17.79	+	3.77	3.42E-21	1.30E-18
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	138	24	6.38	+	3.76	1.94E-08	1.57E-06
negative regulation of immune effector process (GO:0002698)	121	21	5.59	+	3.76	1.53E-07	1.00E-05
negative regulation of T cell activation (GO:0050868)	127	22	5.87	+	3.75	8.08E-08	5.62E-06
regulation of leukocyte migration (GO:0002685)	231	40	10.67	+	3.75	4.41E-13	6.06E-11
positive regulation of leukocyte activation (GO:0002696)	359	62	16.59	+	3.74	1.61E-19	5.12E-17
positive regulation of calcium-mediated signaling (GO:0050850)	53	9	2.45	+	3.67	6.56E-04	1.93E-02
leukocyte differentiation (GO:0002521)	431	73	19.92	+	3.67	2.81E-22	1.19E-19
regulation of leukocyte activation (GO:0002694)	565	95	26.11	+	3.64	1.64E-28	1.56E-25
positive regulation of cell activation (GO:0050867)	377	63	17.42	+	3.62	4.60E-19	1.35E-16
negative regulation of viral process (GO:0048525)	96	16	4.44	+	3.61	7.81E-06	3.70E-04
calcium-mediated signaling (GO:0019722)	174	29	8.04	+	3.61	1.84E-09	1.73E-07
positive regulation of leukocyte chemotaxis (GO:0002690)	96	16	4.44	+	3.61	7.81E-06	3.69E-04
regulation of mononuclear cell proliferation (GO:0032944)	241	40	11.14	+	3.59	1.81E-12	2.33E-10
regulation of viral genome replication (GO:0045069)	85	14	3.93	+	3.56	3.27E-05	1.34E-03
positive regulation of smooth muscle cell proliferation (GO:0048661)	85	14	3.93	+	3.56	3.27E-05	1.34E-03
regulation of lymphocyte proliferation (GO:0050670)	237	39	10.95	+	3.56	4.51E-12	5.73E-10
positive regulation of lymphocyte differentiation (GO:0045621)	134	22	6.19	+	3.55	2.15E-07	1.35E-05
negative regulation of adaptive immune response (GO:0002820)	61	10	2.82	+	3.55	4.47E-04	1.37E-02
cellular response to type II interferon (GO:0071346)	110	18	5.08	+	3.54	2.82E-06	1.44E-04
receptor signaling pathway via STAT (GO:0097696)	55	9	2.54	+	3.54	8.67E-04	2.47E-02
regulation of cell adhesion mediated by integrin (GO:0033628)	49	8	2.26	+	3.53	1.69E-03	4.38E-02
positive regulation of immune response (GO:0050778)	650	106	30.04	+	3.53	1.34E-30	1.57E-27
regulation of leukocyte differentiation (GO:1902105)	327	53	15.11	+	3.51	1.20E-15	2.31E-13
regulation of cell-cell adhesion (GO:0022407)	485	78	22.41	+	3.48	2.73E-22	1.19E-19
integrin-mediated signaling pathway (GO:0007229)	100	16	4.62	+	3.46	1.34E-05	5.88E-04
phospholipid translocation (GO:0045332)	50	8	2.31	+	3.46	1.93E-03	4.84E-02
lymphocyte chemotaxis (GO:0048247)	50	8	2.31	+	3.46	1.93E-03	4.84E-02
cortical cytoskeleton organization (GO:0030865)	50	8	2.31	+	3.46	1.93E-03	4.83E-02
regulation of leukocyte chemotaxis (GO:0002688)	125	20	5.78	+	3.46	1.16E-06	6.35E-05
positive regulation of leukocyte differentiation (GO:1902107)	189	30	8.73	+	3.43	3.20E-09	2.90E-07
positive regulation of hemopoiesis (GO:1903708)	189	30	8.73	+	3.43	3.20E-09	2.88E-07
adaptive immune response (GO:0002250)	669	106	30.91	+	3.43	1.65E-29	1.68E-26
positive regulation of cytokine production involved in immune response (GO:0002720)	83	13	3.84	+	3.39	1.06E-04	3.77E-03
regulation of cell activation (GO:0050865)	622	97	28.74	+	3.37	1.72E-26	1.25E-23
positive regulation of immune effector process (GO:0002699)	257	40	11.88	+	3.37	1.46E-11	1.76E-09
antigen processing and presentation of peptide antigen (GO:0048002)	71	11	3.28	+	3.35	3.90E-04	1.21E-02
leukocyte homeostasis (GO:0001776)	97	15	4.48	+	3.35	3.73E-05	1.51E-03
positive regulation of production of molecular mediator of immune response (GO:0002702)	136	21	6.28	+	3.34	1.15E-06	6.31E-05
regulation of leukocyte proliferation (GO:0070663)	266	41	12.29	+	3.34	1.11E-11	1.36E-09
regulation of hemopoiesis (GO:1903706)	409	63	18.90	+	3.33	3.00E-17	6.73E-15
regulation of B cell proliferation (GO:0030888)	65	10	3.00	+	3.33	7.52E-04	2.19E-02
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	78	12	3.60	+	3.33	2.30E-04	7.53E-03
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	191	29	8.83	+	3.29	1.63E-08	1.35E-06
positive regulation of chemotaxis (GO:0050921)	146	22	6.75	+	3.26	9.83E-07	5.51E-05
regulation of calcium-mediated signaling (GO:0050848)	93	14	4.30	+	3.26	9.07E-05	3.29E-03
regulation of adaptive immune response (GO:0002819)	206	31	9.52	+	3.26	6.55E-09	5.64E-07
positive regulation of immune system process (GO:0002684)	997	150	46.07	+	3.26	3.59E-39	6.84E-36
B cell activation (GO:0042113)	193	29	8.92	+	3.25	2.07E-08	1.65E-06
negative regulation of innate immune response (GO:0045824)	87	13	4.02	+	3.23	1.73E-04	5.84E-03
negative regulation of lymphocyte activation (GO:0051250)	162	24	7.49	+	3.21	4.41E-07	2.65E-05
positive regulation of cell adhesion (GO:0045785)	486	72	22.46	+	3.21	1.36E-18	3.77E-16
regulation of immunoglobulin mediated immune response (GO:0002889)	61	9	2.82	+	3.19	1.85E-03	4.67E-02
positive regulation of myeloid leukocyte differentiation (GO:0002763)	61	9	2.82	+	3.19	1.85E-03	4.66E-02
regulation of B cell mediated immunity (GO:0002712)	61	9	2.82	+	3.19	1.85E-03	4.65E-02
regulation of B cell activation (GO:0050864)	130	19	6.01	+	3.16	8.37E-06	3.94E-04
negative regulation of cell-cell adhesion (GO:0022408)	192	28	8.87	+	3.16	6.96E-08	4.98E-06
regulation of immune response (GO:0050776)	914	133	42.24	+	3.15	4.29E-33	7.27E-30
regulation of immune effector process (GO:0002697)	385	56	17.79	+	3.15	2.28E-14	3.90E-12
immune effector process (GO:0002252)	470	68	21.72	+	3.13	4.50E-17	9.66E-15
immune system development (GO:0002520)	166	24	7.67	+	3.13	6.95E-07	4.03E-05
positive regulation of cytosolic calcium ion concentration (GO:0007204)	166	24	7.67	+	3.13	6.95E-07	4.01E-05
response to type II interferon (GO:0034341)	132	19	6.10	+	3.11	1.05E-05	4.78E-04
positive regulation of leukocyte migration (GO:0002687)	153	22	7.07	+	3.11	2.20E-06	1.15E-04
positive regulation of cytokine production (GO:0001819)	494	71	22.83	+	3.11	1.28E-17	3.19E-15
positive regulation of innate immune response (GO:0045089)	280	40	12.94	+	3.09	2.13E-10	2.23E-08
negative regulation of immune response (GO:0050777)	190	27	8.78	+	3.08	2.04E-07	1.29E-05
regulation of receptor signaling pathway via STAT (GO:1904892)	85	12	3.93	+	3.06	5.19E-04	1.56E-02
negative regulation of immune system process (GO:0002683)	504	71	23.29	+	3.05	3.81E-17	8.29E-15
positive regulation of phagocytosis (GO:0050766)	71	10	3.28	+	3.05	1.51E-03	4.01E-02
negative regulation of leukocyte activation (GO:0002695)	187	26	8.64	+	3.01	5.25E-07	3.11E-05
regulation of production of molecular mediator of immune response (GO:0002700)	188	26	8.69	+	2.99	5.83E-07	3.44E-05
regulation of viral life cycle (GO:1903900)	145	20	6.70	+	2.98	1.19E-05	5.32E-04
regulation of immune system process (GO:0002682)	1537	211	71.02	+	2.97	2.08E-49	1.58E-45
negative regulation of hemopoiesis (GO:1903707)	117	16	5.41	+	2.96	9.60E-05	3.47E-03
regulation of viral process (GO:0050792)	169	23	7.81	+	2.95	3.40E-06	1.72E-04
regulation of cell adhesion (GO:0030155)	787	106	36.37	+	2.91	1.25E-23	6.80E-21
negative regulation of leukocyte differentiation (GO:1902106)	112	15	5.18	+	2.90	1.99E-04	6.64E-03
hemopoiesis (GO:0030097)	698	93	32.25	+	2.88	1.79E-20	6.34E-18
response to hydrogen peroxide (GO:0042542)	98	13	4.53	+	2.87	5.69E-04	1.70E-02
Ras protein signal transduction (GO:0007265)	83	11	3.84	+	2.87	1.49E-03	3.97E-02
regulation of sodium ion transport (GO:0002028)	83	11	3.84	+	2.87	1.49E-03	3.96E-02
regulation of cytokine production involved in immune response (GO:0002718)	121	16	5.59	+	2.86	1.44E-04	4.91E-03
antigen processing and presentation (GO:0019882)	106	14	4.90	+	2.86	3.71E-04	1.17E-02
regulation of innate immune response (GO:0045088)	432	57	19.96	+	2.86	8.85E-13	1.16E-10
cell chemotaxis (GO:0060326)	214	28	9.89	+	2.83	6.87E-07	4.00E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	260	34	12.01	+	2.83	4.58E-08	3.46E-06
positive regulation of response to external stimulus (GO:0032103)	552	72	25.51	+	2.82	1.44E-15	2.74E-13
positive regulation of response to biotic stimulus (GO:0002833)	307	40	14.19	+	2.82	3.35E-09	3.01E-07
regulation of sequestering of calcium ion (GO:0051282)	132	17	6.10	+	2.79	1.25E-04	4.41E-03
negative regulation of response to biotic stimulus (GO:0002832)	117	15	5.41	+	2.77	3.23E-04	1.03E-02
vascular transport (GO:0010232)	86	11	3.97	+	2.77	1.99E-03	4.96E-02
transport across blood-brain barrier (GO:0150104)	86	11	3.97	+	2.77	1.99E-03	4.95E-02
immune response (GO:0006955)	1660	212	76.71	+	2.76	1.64E-44	4.17E-41
leukocyte chemotaxis (GO:0030595)	149	19	6.89	+	2.76	5.88E-05	2.24E-03
B cell differentiation (GO:0030183)	134	17	6.19	+	2.75	1.51E-04	5.14E-03
cell killing (GO:0001906)	166	21	7.67	+	2.74	2.77E-05	1.16E-03
calcium ion transmembrane import into cytosol (GO:0097553)	95	12	4.39	+	2.73	1.41E-03	3.79E-02
positive regulation of defense response (GO:0031349)	412	52	19.04	+	2.73	4.83E-11	5.38E-09
regulation of cytoplasmic pattern recognition receptor signaling pathway (GO:0039531)	111	14	5.13	+	2.73	5.97E-04	1.77E-02
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	96	12	4.44	+	2.71	1.55E-03	4.10E-02
negative regulation of cell activation (GO:0050866)	209	26	9.66	+	2.69	4.39E-06	2.17E-04
regulation of cytokine production (GO:0001817)	780	97	36.04	+	2.69	3.39E-19	1.03E-16
regulation of response to biotic stimulus (GO:0002831)	519	64	23.98	+	2.67	7.68E-13	1.02E-10
regulation of calcium ion transmembrane transport (GO:1903169)	163	20	7.53	+	2.66	6.60E-05	2.47E-03
peptidyl-serine phosphorylation (GO:0018105)	163	20	7.53	+	2.66	6.60E-05	2.46E-03
myeloid leukocyte activation (GO:0002274)	155	19	7.16	+	2.65	1.01E-04	3.61E-03
cellular response to interleukin-1 (GO:0071347)	98	12	4.53	+	2.65	1.85E-03	4.66E-02
regulation of smooth muscle cell proliferation (GO:0048660)	139	17	6.42	+	2.65	2.36E-04	7.70E-03
immune system process (GO:0002376)	2299	280	106.24	+	2.64	2.70E-56	4.12E-52
negative regulation of cell adhesion (GO:0007162)	288	35	13.31	+	2.63	1.83E-07	1.17E-05
lymphocyte mediated immunity (GO:0002449)	247	30	11.41	+	2.63	1.37E-06	7.44E-05
peptidyl-serine modification (GO:0018209)	175	21	8.09	+	2.60	6.08E-05	2.30E-03
regulation of chemotaxis (GO:0050920)	227	27	10.49	+	2.57	6.77E-06	3.24E-04
negative regulation of defense response (GO:0031348)	253	30	11.69	+	2.57	2.26E-06	1.18E-04
regulation of canonical NF-kappaB signal transduction (GO:0043122)	279	33	12.89	+	2.56	7.57E-07	4.34E-05
positive regulation of monoatomic ion transmembrane transport (GO:0034767)	153	18	7.07	+	2.55	2.55E-04	8.30E-03
cytokine-mediated signaling pathway (GO:0019221)	384	45	17.74	+	2.54	1.02E-08	8.58E-07
regulation of calcium ion transport (GO:0051924)	241	28	11.14	+	2.51	7.22E-06	3.44E-04
leukocyte mediated immunity (GO:0002443)	304	35	14.05	+	2.49	6.71E-07	3.92E-05
regulation of cell-matrix adhesion (GO:0001952)	122	14	5.64	+	2.48	1.52E-03	4.02E-02
positive regulation of endocytosis (GO:0045807)	157	18	7.25	+	2.48	3.52E-04	1.12E-02
activation of innate immune response (GO:0002218)	166	19	7.67	+	2.48	2.49E-04	8.12E-03
response to interleukin-1 (GO:0070555)	123	14	5.68	+	2.46	1.65E-03	4.33E-02
regulation of defense response (GO:0031347)	785	89	36.27	+	2.45	4.87E-15	8.94E-13
regulation of metal ion transport (GO:0010959)	380	43	17.56	+	2.45	7.30E-08	5.17E-06
innate immune response (GO:0045087)	767	86	35.44	+	2.43	2.31E-14	3.91E-12
positive regulation of protein-containing complex assembly (GO:0031334)	199	22	9.20	+	2.39	2.18E-04	7.18E-03
regulation of response to external stimulus (GO:0032101)	1098	121	50.74	+	2.38	2.19E-19	6.80E-17
homeostasis of number of cells (GO:0048872)	282	31	13.03	+	2.38	8.95E-06	4.16E-04
negative regulation of inflammatory response (GO:0050728)	164	18	7.58	+	2.38	5.96E-04	1.77E-02
myeloid leukocyte migration (GO:0097529)	138	15	6.38	+	2.35	1.82E-03	4.63E-02
negative regulation of cell migration (GO:0030336)	288	31	13.31	+	2.33	1.25E-05	5.58E-04
chemotaxis (GO:0006935)	344	37	15.90	+	2.33	1.78E-06	9.53E-05
taxis (GO:0042330)	346	37	15.99	+	2.31	3.18E-06	1.61E-04
phagocytosis (GO:0006909)	159	17	7.35	+	2.31	1.65E-03	4.33E-02
defense response to virus (GO:0051607)	272	29	12.57	+	2.31	2.83E-05	1.18E-03
calcium ion transport (GO:0006816)	254	27	11.74	+	2.30	5.69E-05	2.18E-03
cellular response to tumor necrosis factor (GO:0071356)	179	19	8.27	+	2.30	8.47E-04	2.42E-02
defense response (GO:0006952)	1442	153	66.63	+	2.30	1.20E-22	5.55E-20
negative regulation of cell motility (GO:2000146)	303	32	14.00	+	2.29	1.28E-05	5.68E-04
negative regulation of cytokine production (GO:0001818)	294	31	13.59	+	2.28	1.81E-05	7.80E-04
regulation of pattern recognition receptor signaling pathway (GO:0062207)	162	17	7.49	+	2.27	1.83E-03	4.64E-02
positive regulation of monoatomic ion transport (GO:0043270)	210	22	9.70	+	2.27	3.48E-04	1.11E-02
epithelial cell development (GO:0002064)	192	20	8.87	+	2.25	7.08E-04	2.07E-02
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	164	17	7.58	+	2.24	1.99E-03	4.96E-02
regulation of monoatomic ion transmembrane transport (GO:0034765)	338	35	15.62	+	2.24	9.29E-06	4.30E-04
cellular response to cytokine stimulus (GO:0071345)	727	75	33.59	+	2.23	6.33E-11	6.95E-09
regulation of myeloid cell differentiation (GO:0045637)	204	21	9.43	+	2.23	5.80E-04	1.73E-02
establishment or maintenance of cell polarity (GO:0007163)	204	21	9.43	+	2.23	5.80E-04	1.73E-02
defense response to symbiont (GO:0140546)	914	94	42.24	+	2.23	3.33E-13	4.69E-11
regulation of monoatomic ion transport (GO:0043269)	458	47	21.16	+	2.22	3.66E-07	2.24E-05
inflammatory response (GO:0006954)	561	57	25.92	+	2.20	2.98E-08	2.30E-06
regulation of cell-substrate adhesion (GO:0010810)	217	22	10.03	+	2.19	5.09E-04	1.54E-02
positive regulation of cell migration (GO:0030335)	543	55	25.09	+	2.19	6.04E-08	4.41E-06
positive regulation of locomotion (GO:0040017)	585	59	27.03	+	2.18	1.88E-08	1.53E-06
locomotion (GO:0040011)	367	37	16.96	+	2.18	1.22E-05	5.45E-04
regulation of monoatomic cation transmembrane transport (GO:1904062)	298	30	13.77	+	2.18	6.66E-05	2.48E-03
regulation of small GTPase mediated signal transduction (GO:0051056)	308	31	14.23	+	2.18	4.93E-05	1.93E-03
regulation of inflammatory response (GO:0050727)	380	38	17.56	+	2.16	9.61E-06	4.44E-04
positive regulation of cell motility (GO:2000147)	570	57	26.34	+	2.16	4.31E-08	3.27E-06
defense response to other organism (GO:0098542)	1020	102	47.13	+	2.16	1.80E-13	2.75E-11
positive regulation of programmed cell death (GO:0043068)	541	54	25.00	+	2.16	1.11E-07	7.50E-06
response to lipopolysaccharide (GO:0032496)	321	32	14.83	+	2.16	4.26E-05	1.70E-03
response to biotic stimulus (GO:0009607)	1427	142	65.94	+	2.15	1.74E-18	4.64E-16
positive regulation of gene expression (GO:0010628)	1178	117	54.44	+	2.15	2.78E-15	5.16E-13
response to other organism (GO:0051707)	1380	137	63.77	+	2.15	6.90E-18	1.81E-15
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	222	22	10.26	+	2.14	9.57E-04	2.69E-02
response to external biotic stimulus (GO:0043207)	1383	137	63.91	+	2.14	1.16E-17	2.94E-15
response to tumor necrosis factor (GO:0034612)	204	20	9.43	+	2.12	1.95E-03	4.87E-02
cell migration (GO:0016477)	900	88	41.59	+	2.12	3.17E-11	3.69E-09
regulation of GTPase activity (GO:0043087)	297	29	13.72	+	2.11	1.38E-04	4.76E-03
negative regulation of locomotion (GO:0040013)	338	33	15.62	+	2.11	6.03E-05	2.28E-03
response to cytokine (GO:0034097)	824	80	38.08	+	2.10	2.93E-10	2.98E-08
positive regulation of response to stimulus (GO:0048584)	2237	217	103.37	+	2.10	2.67E-27	2.14E-24
regulation of cell migration (GO:0030334)	939	91	43.39	+	2.10	1.69E-11	2.03E-09
response to virus (GO:0009615)	373	36	17.24	+	2.09	2.97E-05	1.23E-03
regulation of binding (GO:0051098)	239	23	11.04	+	2.08	8.90E-04	2.53E-02
regulation of cell development (GO:0060284)	836	80	38.63	+	2.07	6.54E-10	6.39E-08
negative regulation of response to external stimulus (GO:0032102)	409	39	18.90	+	2.06	2.14E-05	9.12E-04
response to molecule of bacterial origin (GO:0002237)	339	32	15.67	+	2.04	1.25E-04	4.40E-03
positive regulation of apoptotic process (GO:0043065)	520	49	24.03	+	2.04	2.25E-06	1.18E-04
regulation of cell motility (GO:2000145)	999	94	46.16	+	2.04	4.04E-11	4.60E-09
cell surface receptor signaling pathway (GO:0007166)	2076	195	95.93	+	2.03	1.15E-22	5.48E-20
biological process involved in interspecies interaction between organisms (GO:0044419)	1555	146	71.86	+	2.03	8.15E-17	1.70E-14
positive regulation of multicellular organismal process (GO:0051240)	1651	155	76.29	+	2.03	7.63E-18	1.97E-15
protein phosphorylation (GO:0006468)	490	46	22.64	+	2.03	5.48E-06	2.68E-04
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	245	23	11.32	+	2.03	1.15E-03	3.19E-02
small GTPase-mediated signal transduction (GO:0007264)	261	24	12.06	+	1.99	1.48E-03	3.95E-02
vascular process in circulatory system (GO:0003018)	273	25	12.62	+	1.98	1.16E-03	3.19E-02
regulation of locomotion (GO:0040012)	1041	95	48.10	+	1.97	1.71E-10	1.80E-08
positive regulation of cell development (GO:0010720)	453	41	20.93	+	1.96	5.63E-05	2.16E-03
positive regulation of cell population proliferation (GO:0008284)	947	85	43.76	+	1.94	4.23E-09	3.72E-07
negative regulation of intracellular signal transduction (GO:1902532)	547	49	25.28	+	1.94	1.06E-05	4.84E-04
response to hypoxia (GO:0001666)	293	26	13.54	+	1.92	1.69E-03	4.39E-02
myeloid cell differentiation (GO:0030099)	294	26	13.59	+	1.91	1.73E-03	4.49E-02
cell motility (GO:0048870)	1079	95	49.86	+	1.91	1.46E-09	1.39E-07
intracellular signal transduction (GO:0035556)	1509	132	69.73	+	1.89	7.21E-13	9.64E-11
cell population proliferation (GO:0008283)	732	64	33.83	+	1.89	9.49E-07	5.34E-05
regulation of response to stress (GO:0080134)	1355	118	62.61	+	1.88	1.82E-11	2.17E-09
positive regulation of hydrolase activity (GO:0051345)	484	42	22.37	+	1.88	1.00E-04	3.60E-03
positive regulation of cellular component biogenesis (GO:0044089)	508	44	23.47	+	1.87	6.24E-05	2.36E-03
regulation of intracellular signal transduction (GO:1902531)	1780	153	82.25	+	1.86	2.84E-14	4.60E-12
intracellular signaling cassette (GO:0141124)	829	71	38.31	+	1.85	4.85E-07	2.89E-05
response to inorganic substance (GO:0010035)	528	45	24.40	+	1.84	8.32E-05	3.04E-03
response to bacterium (GO:0009617)	687	58	31.75	+	1.83	1.08E-05	4.92E-04
cell-cell adhesion (GO:0098609)	545	46	25.18	+	1.83	1.06E-04	3.77E-03
regulation of transmembrane transport (GO:0034762)	464	39	21.44	+	1.82	3.05E-04	9.79E-03
positive regulation of intracellular signal transduction (GO:1902533)	1042	87	48.15	+	1.81	8.21E-08	5.69E-06
regulation of multicellular organismal process (GO:0051239)	2959	247	136.74	+	1.81	7.74E-22	3.19E-19
regulation of response to stimulus (GO:0048583)	3976	331	183.73	+	1.80	1.26E-30	1.60E-27
negative regulation of multicellular organismal process (GO:0051241)	1116	92	51.57	+	1.78	6.24E-08	4.53E-06
cellular response to organic substance (GO:0071310)	1724	142	79.67	+	1.78	7.46E-12	9.25E-10
response to external stimulus (GO:0009605)	2287	187	105.68	+	1.77	2.58E-15	4.85E-13
positive regulation of signal transduction (GO:0009967)	1567	128	72.41	+	1.77	1.68E-10	1.77E-08
negative regulation of response to stimulus (GO:0048585)	1663	135	76.85	+	1.76	7.04E-11	7.61E-09
response to lipid (GO:0033993)	852	69	39.37	+	1.75	5.60E-06	2.72E-04
circulatory system process (GO:0003013)	507	41	23.43	+	1.75	5.35E-04	1.61E-02
regulation of hydrolase activity (GO:0051336)	743	60	34.33	+	1.75	2.50E-05	1.05E-03
positive regulation of molecular function (GO:0044093)	1216	98	56.19	+	1.74	6.49E-08	4.67E-06
actin cytoskeleton organization (GO:0030036)	546	44	25.23	+	1.74	3.84E-04	1.19E-02
multicellular organismal-level homeostasis (GO:0048871)	611	49	28.23	+	1.74	1.77E-04	5.96E-03
regulation of cell population proliferation (GO:0042127)	1673	134	77.31	+	1.73	2.56E-10	2.64E-08
regulation of MAPK cascade (GO:0043408)	650	52	30.04	+	1.73	1.26E-04	4.42E-03
cell adhesion (GO:0007155)	955	76	44.13	+	1.72	3.81E-06	1.90E-04
phosphorylation (GO:0016310)	742	59	34.29	+	1.72	5.20E-05	2.02E-03
regulation of multicellular organismal development (GO:2000026)	1403	111	64.83	+	1.71	2.31E-08	1.82E-06
negative regulation of cell population proliferation (GO:0008285)	710	56	32.81	+	1.71	1.14E-04	4.03E-03
regulation of cell differentiation (GO:0045595)	1562	123	72.18	+	1.70	4.04E-09	3.60E-07
positive regulation of cellular component organization (GO:0051130)	1118	88	51.66	+	1.70	1.06E-06	5.89E-05
apoptotic process (GO:0006915)	1043	82	48.20	+	1.70	2.24E-06	1.18E-04
cell death (GO:0008219)	1096	86	50.65	+	1.70	1.29E-06	7.05E-05
supramolecular fiber organization (GO:0097435)	599	47	27.68	+	1.70	4.81E-04	1.46E-02
positive regulation of cell communication (GO:0010647)	1752	137	80.96	+	1.69	6.51E-10	6.40E-08
positive regulation of signaling (GO:0023056)	1754	137	81.05	+	1.69	9.23E-10	8.91E-08
actin filament-based process (GO:0030029)	615	48	28.42	+	1.69	4.01E-04	1.24E-02
programmed cell death (GO:0012501)	1092	85	50.46	+	1.68	2.50E-06	1.30E-04
endocytosis (GO:0006897)	527	41	24.35	+	1.68	1.06E-03	2.96E-02
negative regulation of signal transduction (GO:0009968)	1301	101	60.12	+	1.68	2.48E-07	1.54E-05
positive regulation of transport (GO:0051050)	851	66	39.32	+	1.68	3.81E-05	1.54E-03
positive regulation of phosphorus metabolic process (GO:0010562)	700	54	32.35	+	1.67	2.25E-04	7.39E-03
positive regulation of phosphate metabolic process (GO:0045937)	700	54	32.35	+	1.67	2.25E-04	7.38E-03
regulation of signal transduction (GO:0009966)	3018	232	139.46	+	1.66	5.29E-16	1.05E-13
regulation of programmed cell death (GO:0043067)	1518	116	70.15	+	1.65	7.43E-08	5.19E-06
positive regulation of protein phosphorylation (GO:0001934)	576	44	26.62	+	1.65	1.16E-03	3.20E-02
regulation of molecular function (GO:0065009)	2002	151	92.51	+	1.63	1.07E-09	1.03E-07
negative regulation of signaling (GO:0023057)	1398	105	64.60	+	1.63	6.46E-07	3.79E-05
negative regulation of cell differentiation (GO:0045596)	666	50	30.78	+	1.62	6.96E-04	2.04E-02
signal transduction (GO:0007165)	4769	358	220.38	+	1.62	9.95E-25	6.07E-22
response to oxygen-containing compound (GO:1901700)	1553	116	71.76	+	1.62	2.13E-07	1.33E-05
regulation of apoptotic process (GO:0042981)	1473	110	68.07	+	1.62	5.84E-07	3.44E-05
negative regulation of gene expression (GO:0010629)	966	72	44.64	+	1.61	5.75E-05	2.20E-03
regulation of developmental process (GO:0050793)	2442	182	112.84	+	1.61	3.49E-11	3.99E-09
positive regulation of macromolecule biosynthetic process (GO:0010557)	2591	193	119.73	+	1.61	6.89E-12	8.60E-10
negative regulation of cell communication (GO:0010648)	1397	104	64.56	+	1.61	1.23E-06	6.70E-05
cellular response to oxygen-containing compound (GO:1901701)	1054	78	48.71	+	1.60	4.19E-05	1.67E-03
positive regulation of catalytic activity (GO:0043085)	883	65	40.80	+	1.59	2.08E-04	6.94E-03
cell morphogenesis (GO:0000902)	695	51	32.12	+	1.59	1.20E-03	3.29E-02
cell development (GO:0048468)	2236	164	103.33	+	1.59	1.29E-09	1.23E-07
positive regulation of cellular biosynthetic process (GO:0031328)	2673	196	123.52	+	1.59	1.87E-11	2.21E-09
regulation of signaling (GO:0023051)	3429	251	158.45	+	1.58	7.87E-15	1.40E-12
positive regulation of biosynthetic process (GO:0009891)	2694	197	124.49	+	1.58	2.17E-11	2.54E-09
regulation of cell communication (GO:0010646)	3435	251	158.73	+	1.58	1.15E-14	1.99E-12
positive regulation of biological process (GO:0048518)	6186	451	285.85	+	1.58	1.17E-30	1.62E-27
positive regulation of cellular process (GO:0048522)	5686	414	262.75	+	1.58	6.55E-27	4.99E-24
signaling (GO:0023052)	5089	369	235.16	+	1.57	8.37E-23	4.12E-20
regulation of catalytic activity (GO:0050790)	1407	102	65.02	+	1.57	5.02E-06	2.48E-04
negative regulation of developmental process (GO:0051093)	915	66	42.28	+	1.56	3.61E-04	1.14E-02
positive regulation of cellular metabolic process (GO:0031325)	3328	240	153.79	+	1.56	2.57E-13	3.73E-11
regulation of cellular component biogenesis (GO:0044087)	973	70	44.96	+	1.56	2.22E-04	7.32E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3400	244	157.11	+	1.55	2.15E-13	3.19E-11
response to organic substance (GO:0010033)	2465	176	113.91	+	1.55	2.39E-09	2.19E-07
response to stress (GO:0006950)	3413	243	157.71	+	1.54	6.36E-13	8.58E-11
cell communication (GO:0007154)	5242	371	242.23	+	1.53	6.47E-21	2.35E-18
cellular response to chemical stimulus (GO:0070887)	2385	168	110.21	+	1.52	1.75E-08	1.43E-06
